,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
20051,3,"(25, 30]",20052.0,1.0,1.0,26.0,2.0
23333,6,"(40, 45]",23334.0,0.0,1.0,42.0,2.0
30998,7,"(45, 65]",30999.0,1.0,1.0,49.0,1.0
22737,7,"(45, 65]",22738.0,1.0,1.0,54.0,3.0
15143,6,"(40, 45]",15144.0,0.0,0.0,44.0,1.0
30896,7,"(45, 65]",30897.0,0.0,0.0,54.0,1.0
17974,7,"(45, 65]",17975.0,0.0,0.0,61.0,3.0
6378,6,"(40, 45]",6379.0,0.0,1.0,44.0,3.0
8138,7,"(45, 65]",8139.0,1.0,1.0,49.0,1.0
11094,4,"(30, 35]",11095.0,1.0,1.0,34.0,3.0
7368,3,"(25, 30]",7369.0,0.0,1.0,29.0,3.0
4045,7,"(45, 65]",4046.0,1.0,1.0,53.0,1.0
1516,5,"(35, 40]",1517.0,0.0,0.0,38.0,1.0
1050,7,"(45, 65]",1051.0,0.0,0.0,59.0,1.0
29195,2,"(20, 25]",29196.0,0.0,0.0,23.0,2.0
23822,6,"(40, 45]",23823.0,0.0,1.0,42.0,1.0
5966,7,"(45, 65]",5967.0,1.0,1.0,48.0,1.0
25099,5,"(35, 40]",25100.0,1.0,1.0,40.0,1.0
3078,5,"(35, 40]",3079.0,0.0,1.0,40.0,2.0
6821,7,"(45, 65]",6822.0,1.0,1.0,55.0,3.0
24834,7,"(45, 65]",24835.0,0.0,1.0,49.0,2.0
28312,3,"(25, 30]",28313.0,1.0,1.0,27.0,3.0
11468,4,"(30, 35]",11469.0,0.0,0.0,35.0,1.0
35345,5,"(35, 40]",35346.0,0.0,0.0,37.0,1.0
7907,5,"(35, 40]",7908.0,1.0,0.0,37.0,2.0
30591,7,"(45, 65]",30592.0,0.0,0.0,65.0,1.0
11625,5,"(35, 40]",11626.0,1.0,1.0,38.0,1.0
10322,9,"(70, 150]",10323.0,1.0,1.0,74.0,1.0
6990,7,"(45, 65]",6991.0,1.0,1.0,57.0,1.0
31248,7,"(45, 65]",31249.0,1.0,1.0,60.0,1.0
4609,6,"(40, 45]",4610.0,1.0,1.0,41.0,1.0
38753,6,"(40, 45]",38754.0,0.0,0.0,43.0,1.0
34506,4,"(30, 35]",34507.0,1.0,1.0,32.0,5.0
33179,3,"(25, 30]",33180.0,0.0,0.0,27.0,3.0
12908,5,"(35, 40]",12909.0,0.0,0.0,40.0,1.0
18398,3,"(25, 30]",18399.0,0.0,0.0,27.0,1.0
12851,2,"(20, 25]",12852.0,0.0,1.0,24.0,2.0
8903,7,"(45, 65]",8904.0,1.0,1.0,46.0,3.0
4597,7,"(45, 65]",4598.0,0.0,1.0,64.0,1.0
38462,6,"(40, 45]",38463.0,0.0,0.0,43.0,1.0
9021,5,"(35, 40]",9022.0,1.0,1.0,36.0,3.0
25045,8,"(65, 70]",25046.0,1.0,1.0,66.0,1.0
13632,6,"(40, 45]",13633.0,0.0,1.0,42.0,1.0
1317,7,"(45, 65]",1318.0,1.0,1.0,63.0,1.0
30659,7,"(45, 65]",30660.0,1.0,1.0,50.0,0.0
28423,4,"(30, 35]",28424.0,0.0,1.0,35.0,1.0
7604,7,"(45, 65]",7605.0,1.0,1.0,51.0,3.0
8906,2,"(20, 25]",8907.0,1.0,1.0,23.0,3.0
35142,4,"(30, 35]",35143.0,0.0,0.0,32.0,1.0
30341,7,"(45, 65]",30342.0,0.0,0.0,55.0,2.0
